 
20,66,66,63,45,1
30,66,66,64,42,1
40,66,66,64,40,1
50,66,66,64,38,1
60,66,66,64,37,1
70,65,65,63,36,1
80,65,65,62,36,1
90,65,65,62,39,1
90,65,65,62,41,1
80,65,65,62,42,1
70,65,65,61,46,1
60,65,65,61,49,1
50,65,65,61,46,1
40,65,65,61,43,1
30,65,65,61,41,1
20,65,65,62,39,1
10,65,65,63,38,1
0,65,65,63,37,1
0,66,66,64,37,1
10,66,66,63,37,1
20,67,67,64,36,1
30,67,67,64,36,1
40,67,67,64,35,1
50,67,67,64,35,1
60,66,66,64,34,1
70,66,66,64,34,1
80,66,66,63,34,1
90,66,66,62,39,1
90,65,65,62,41,1
80,65,65,62,46,1
70,65,65,61,46,1
60,65,65,61,53,1
50,65,65,60,49,1
40,65,65,60,45,1
30,65,65,61,43,1
20,65,65,61,41,1
10,65,65,61,39,1
0,65,65,62,38,1
0,65,65,63,37,1
10,66,66,63,37,1
20,66,66,64,36,1
30,66,66,64,35,1
40,66,66,64,34,1
50,66,66,64,46,1
60,65,65,63,43,1
70,65,65,63,41,1
80,65,65,62,38,1
90,64,64,62,41,1
90,64,64,61,42,1
80,64,64,61,43,1
70,64,64,61,40,1
60,64,64,61,41,1
50,64,64,61,38,1
40,64,64,60,37,1
30,64,64,59,35,1
20,64,64,59,34,1
10,64,64,60,33,1
0,64,64,59,33,1
0,65,65,61,32,1
10,65,65,62,32,1
20,62,62,63,31,1
30,63,63,63,31,1
40,63,63,63,31,1
50,63,63,62,39,1
60,63,63,62,36,1
70,63,63,61,34,1
80,63,63,61,38,1
90,63,63,83,42,1
90,63,63,73,45,1
80,63,63,65,45,1
70,63,63,74,48,1
60,63,63,70,50,1
50,63,63,69,51,1
40,63,63,67,45,1
30,63,63,66,57,1
20,63,63,65,66,1
10,63,63,64,58,1
0,63,63,63,53,1
0,64,64,64,48,1
10,64,64,65,45,1
20,64,64,65,42,1
30,64,64,64,41,1
40,64,64,63,44,1
50,64,64,63,47,1
60,64,64,62,51,1
70,64,64,62,53,1
80,63,63,62,56,1
90,63,63,63,59,1
90,63,63,57,62,1
80,63,63,51,63,1
70,63,63,47,65,1
60,63,63,50,73,1
50,63,63,53,71,1
40,63,63,54,65,1
30,63,63,56,59,1
20,63,63,57,53,1
10,63,63,58,48,1
0,63,63,59,45,1
0,63,63,61,42,1
10,64,64,62,39,1
20,64,64,64,37,1
30,64,64,63,36,1
40,64,64,63,40,1
50,64,64,62,40,1
60,64,64,62,43,1
70,63,63,63,45,1
80,63,63,72,50,1
90,63,63,86,54,1
90,62,62,74,57,1
80,62,62,64,66,1
70,62,62,57,67,1
60,62,62,64,67,1
50,61,61,66,66,1
40,61,61,65,62,1
30,61,61,65,60,1
20,61,61,64,60,1
10,61,61,64,74,1
0,62,62,63,66,1
0,62,62,64,59,1
10,63,63,64,54,1
20,63,63,63,55,1
30,63,63,63,57,1
40,63,63,63,57,1
50,63,63,63,58,1
60,63,63,63,58,1
70,62,62,61,60,1
80,62,62,54,61,1
90,62,62,48,62,1
90,62,62,56,63,1
80,62,62,52,64,1
70,62,62,46,64,1
60,62,62,42,62,1
50,62,62,38,63,1
40,61,61,48,61,1
30,61,61,51,59,1
20,61,61,53,58,1
10,61,61,56,56,1
0,61,61,57,57,1
0,62,62,59,52,1
10,62,62,60,52,1
20,63,63,61,52,1
30,63,63,62,52,1
40,62,62,61,52,1
50,62,62,63,52,1
60,62,62,66,53,1
70,62,62,59,55,1
80,62,62,53,57,1
90,61,61,47,59,1
90,62,62,43,61,1
80,62,62,39,61,1
70,62,62,36,65,1
60,67,67,34,62,1
